;project_name;project_number;pc_name;pc_reason;pc_description;Von_bis;planned_total_cost;nbs;abs;elektrification;batterie;second_track;third_track;fourth_track;curve;platform;junction_station;number_junction_station;overtaking_station;number_overtaking_station;double_occupancy;block_increase;flying_junction;tunnel_structural_gauge;increase_speed;new_vmax;level_free_platform_entrance;etcs;etcs_level;station_railroad_switches;station_modernization;effect_long_rail;effect_local_rail;effect_cargo;;;Strecken/Knoten;SPFV/SGV-Wirkung;Streckennummer;Bundesland;in Pros-D;railway lines;Subprojekte anlegen;GANTT;Zuordnung Korridor/Überprojekt;Gesamtmaßnahmenliste
122;Deutschlandtakt ABS Bahnhof Leipzig-Wahren;D-122;ABS Bahnhof Leipzig-Wahren;Kapazitätsausweitung aufgrund SGV-Prognose;zweigleisige Einfädelung in Leipzig-Wahren;Bahnhof Leipzig-Wahren;7,2;;WAHR;;;WAHR;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Leipzig;unmittelbar;6403;;;;;ja;Knoten Leipzig; 
123;Deutschlandtakt Bahnhof Ludwigslust (Nordkopf);D-123;Bahnhof Ludwigslust (Nordkopf);Kapazitätsausweitung aufgrund SGV-Prognose;zusätzliche Weichenverbindung im Nordkopf von Ludwigslust;Bahnhof Ludwigslust (Nordkopf);3,1;;;;;;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Hamburg - Berlin;unmittelbar;6100;;;;;ja;Knoten Berlin; 
124;Deutschlandtakt Bahnhof Groß Gleidingne;D-124;Bahnhof Groß Gleidingne;Kapazitätsausweitung aufgrund Ausweitung Mengengerüst SGV und SPV, Entflechtung der Verkehre;Überwerfung Groß Gleidingen von Beddingen in Richtung Lehrte im Ostkopf;Bahnhof Groß Gleidingne;44,7;;;;;;;;;;;;;;;;WAHR;;;;;;;;;WAHR;WAHR;WAHR;;;Hannover Lehrte - Braunschweig;unmittelbar;1730/1772/1992;;;;;ja;Maßnahmen NRW/Niedersachsen/SH; 
125;Deutschlandtakt Abzw. Utbremen;D-125;Abzw. Utbremen;Kapazitätsausweitung aufgrund SGV-Prognose, Ermöglichen des Einfädelns von Zügen der Relation Bremen Rbf - Maschen;Bau eines mittigen Puffergleises hinter dem Abzw. Utbremen;Abzw. Utbremen;41,3;;;;;;;;;;;;WAHR;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Wanne-Eickel - Hamburg;unmittelbar;2200;;;;;ja;Bremen - Hamburg - Hannover; 
126;Deutschlandtakt Bahnhof Stickhausen–Velde;D-126;Bahnhof Stickhausen–Velde;Kapazitätsausweitung aufgrund SGV-Prognose;Stickhausen-Velde: drittes Gleis für Eigenkreuzung GV bei gleichzei-tig passierendem SPV;Bahnhof Stickhausen–Velde;16,7;;;;;;WAHR;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Oldenburg - Leer;unmittelbar;1520;;;;;ja;Maßnahmen NRW/Niedersachsen/SH; 
127;Deutschlandtakt ABS Bremen Hbf ehem Bwn – Bremen Hbf;D-127;ABS Bremen Hbf ehem Bwn – Bremen Hbf;Kapazitätsausweitung aufgrund SGV-Prognose, Herstellung paralle-ler Fahrmöglichkeiten für SGV in/aus Richtung Hude;zweigleisiger Ausbau der SGV-Kurve Bremen Hbf ehem. Bwn – Bremen Hbf;Bremen Hbf ehem Bwn – Bremen Hbf;10,4;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Bremen - Oldenburg;unmittelbar;1500;;;;;ja;Bremen - Hamburg - Hannover; 
128;Deutschlandtakt ABS Heidekultur – Wehdel;D-128;ABS Heidekultur – Wehdel;Kapazitätsausweitung aufgrund SGV-Prognose, Herstellung paralle-ler Fahrmöglichkeiten für SGV in/aus Richtung Hude;zweigleisiger Ausbau Heidekultur – Wehdel;Heidekultur – Wehdel;28,6;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Bremerhaven-Wulsdorf - Bremervörde - Verden (NE-Bahn EVB);unmittelbar;1300;;;;;ja;Bremen - Hamburg - Hannover; 
129;Deutschlandtakt Bahnhof Lietzow;D-129;Bahnhof Lietzow;zusätzlicher Systemhalt des SPFV in Lietzow zur Anschlussherstel-lung an den SPNV für die Region;Verlängerung der Bahnsteige Lietzow;Bahnhof Lietzow;15,5;;;;;;;;;WAHR;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Stralsund - Sassnitz;unmittelbar;6321;;;;;ja;Maßnahmen Ost; 
130;Deutschlandtakt ABS Rügendamm – Lietzow;D-130;ABS Rügendamm – Lietzow;Fahrzeitverkürzung SPFV zur Knoteneinbindung in Stralsund und Binz;Geschwindigkeitsanhebung Rügendamm - Lietzow auf 100 km/h;Rügendamm – Lietzow;16,2;;WAHR;;;;;;;;;;;;;;;;WAHR;100;;;;;;WAHR;WAHR;WAHR;;;Stralsund - Sassnitz;unmittelbar;6321;;;;;ja;Maßnahmen Ost; 
131;Deutschlandtakt Bahnhofe Leese;D-131;Bahnhofe Leese;Kapazitätsausweitung aufgrund SGV-Prognose, Herstellung paralle-ler Fahrmöglichkeiten für SGV in/aus Richtung Hude;Ausbau Bahnhof Leese RWG zum Kreuzungsbahnhof;Bahnhofe Leese;14,7;;;;;;;;;;WAHR;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Nienburg - Minden;unmittelbar;1741;;;;;ja;Maßnahmen NRW/Niedersachsen/SH; 
132;Deutschlandtakt NBS Waffensen – Unterstedt;D-132;NBS Waffensen – Unterstedt;Kapazitätsausweitung aufgrund SGV-Prognose;Verbindungsspange Waffensen - Unterstedt;Waffensen – Unterstedt;18,2;WAHR;;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Bremerhaven-Wulsdorf - Bremervörde - Verden (NE-Bahn EVB);unmittelbar;1711/1745;;;;;ja;Bremen - Hamburg - Hannover; 
133;Deutschlandtakt Bahnhof Langwedel;D-133;Bahnhof Langwedel;Kapazitätsausweitung aufgrund SGV-Prognose und Mehrung SPV, möglichst vollständige Entflechtung aller Verkehre, um das gewünschte Mengengerüst zu realisieren;Langwedel: niveaufreie Anbindung der Strecke Langwedel - Uelzen;Bahnhof Langwedel;54,6;;;;;;;;;;;;;;;;WAHR;;;;;;;;;WAHR;WAHR;WAHR;;;Uelzen - Bremen;unmittelbar;1740/1960;;;;;ja;Bremen - Hamburg - Hannover; 
134;Deutschlandtakt Bahnhof Elsdorf;D-134;Bahnhof Elsdorf;Kapazitätsausweitung aufgrund SGV-Prognose;Ausbau Elsdorf zum Kreuzungsbahnhof mit 740 m Nutzlänge;Bahnhof Elsdorf;10,8;;;;;;;;;;WAHR;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Bremerhaven-Wulsdorf - Bremervörde - Verden (NE-Bahn EVB);unmittelbar;1711;;;;;ja;Bremen - Hamburg - Hannover; 
135;Deutschlandtakt Einfädelung Maschen auf Strecke Hamburg – Lüneburg;D-135;Einfädelung Maschen auf Strecke Hamburg – Lüneburg;Kapazitätsausweitung aufgrund SGV-Prognose;Maschen – Stelle – Ashausen: Umbau des Knotens, so dass 2 Züge parallel und niveaufrei sowohl in das außenliegende Gleis als auch in das innenliegende Gleis der Strecke Hamburg – Lüneburg ein-und ausfahren können;Einfädelung Maschen auf Strecke Hamburg – Lüneburg;155,1;;;;;;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Knoten Hamburg;unmittelbar;1281/1284/1720;;;;;ja;Knoten Hamburg; 
136;Deutschlandtakt Bahnhof Seelze;D-136;Bahnhof Seelze;niveaufreie Fahrmöglichkeit der S-Bahnen Richtung Hannover zur Vermeidung von Konflikten mit restlichem SPV, Kapazitätssteigerung bzw. Engpassauflösung;Wunstorf - Hannover: Überwerfungsbauwerk Seelze;Bahnhof Seelze;165,3;;;;;;;;;;;;;;;;WAHR;;;;;;;;;FALSCH;FALSCH;WAHR;;;Hamm - Hannover;mittelbar;1700, 1705;;;;;ja;NRW - Hannover - Berlin; 
137;Deutschlandtakt Bahnhof Haste;D-137;Bahnhof Haste;zusätzliche Überholmöglichkeit für SPFV mit höherer Durchfahrtsgeschwindigkeit;zusätzlicher Bahnsteig Gleis 4 im Bahnhof Haste;Bahnhof Haste;2,2;;;;;;;;;WAHR;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Hamm - Hannover;unmittelbar;1700;;;;;ja;NRW - Hannover - Berlin; 
138;Deutschlandtakt ABS Germersheim – Graben-Neudrf;D-138;ABS Germersheim – Graben-Neudrf;Kapazitätsausweitung aufgrund SGV-Prognose;zweigleisgier Ausbau Germersheim - Graben-Neudorf sowie Ertüchtigung Graben-Neudorf für SGV;Germersheim – Graben-Neudrf;324,5;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Bruchsal - Rheinsheim, Rheinsheim - Rohrbach;unmittelbar;4132/3450;;;;;ja;Basel - Mannheim - Frankfurt - Fulda - Erfurt - Berlin; 
139;Deutschlandtakt Abzw. Weiterstadt Stockschneise;D-139;Abzw. Weiterstadt Stockschneise;Kapazitätsausweitung aufgrund SGV-Prognose;niveaufreie Kreuzung der Strecken Mainz – Aschaffenburg und NBS Nordanbindung Darmstadt im Bereich Abzw. Weiterstadt Stockschneise;Abzw. Weiterstadt Stockschneise;65;;;;;;;;;;;;;;;;WAHR;;;;;;;;;WAHR;WAHR;WAHR;;;Mainz-Bischofsheim - Darmstadt Hbf;unmittelbar;3530/3657;;;;;ja;Maßnahmen Hessen/RLP; 
140;Deutschlandtakt ABS Groß-Gerau-Dornberg – Klein-Gerau Eichmühle;D-140;ABS Groß-Gerau-Dornberg – Klein-Gerau Eichmühle;Kapazitätsausweitung aufgrund SGV-Prognose;zweigleisiger Ausbau Groß-Gerau-Dornberg – Klein-Gerau Eich-mühle;Groß-Gerau-Dornberg – Klein-Gerau Eichmühle;10,2;;WAHR;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Groß-Gerau- Dornberg – Klein-Gerau Eichmühle;;3534;;;;;ja;Maßnahmen Hessen/RLP; 
141;Deutschlandtakt NBS Spange Hannover-Burg;D-141;NBS Spange Hannover-Burg;Herstellung einer attraktiven Fahrzeit zwischen Hamburg und NRW durch Verbinden der ABS/NBS Hamm – Bielefeld – Hannover und ABS/NBS Hannover – Hamburg;eingleisige Verbindungskurve Hannover-Burg von Strecke Bielefeld – Hannover (niveaugleiche Ausfädelung) zur Strecke Hannover – Hamburg (niveaufreie mittige Einbindung);Spange Hannover-Burg;209,1;WAHR;;;;;;;WAHR;;;;;;;;WAHR;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Hannover Verbindungskurve Hannover Burg;unmittelbar;1700/1710;;;;;ja;Knoten Hannover; 
142;Deutschlandtakt NBS Hannover-Vinnhorst – Maschen Pbf;D-142;NBS Hannover-Vinnhorst – Maschen Pbf;Kapazitätssteigerung des Korridors und zur Fahrzeitkürzung für den SPV Erreichung der Zielfahrzeit 59 Minuten (ohne Halt in Harburg) bzw. 63 Minuten (mit Halt in Harburg) Hamburg Hbf – Hannover Hbf zur Kapazitätssteigerung des Korridors und zur Fahrzeitkürzung für den SPFV, Anschlussherstellung;Hannover-Vinnhorst – Maschen Pbf: Bau einer Aus-/Neubaustrecke, Verlauf und Kilometrierung offen, Vmax mind. 250 – 300 km/h je nach Trassierung zur Erreichung der Zielfahrzeit 59 Minuten Hamburg Hbf – Hannover Hbf (ohne Halt in Harburg);Hannover-Vinnhorst – Maschen Pbf;3499,5;WAHR;WAHR;;;;;;;;;;;;;;;;;300;;;;;;WAHR;WAHR;WAHR;;;Hannover- Vinnhorst – Maschen Pbf;unmittelbar;neu;;;;;ja;Bremen - Hamburg - Hannover; 
143;Deutschlandtakt Bahnhof Dorfmark;D-143;Bahnhof Dorfmark;Kapazitätsausweitung aufgrund SGV-Prognose;Dorfmark: Bau eines Güterüberholbahnhofs;Bahnhof Dorfmark;17,71;;;;;;;;;;;;WAHR;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Hannover-Vinnhorst - Maschen Pbf;unmittelbar;neu;;;;;ja;Bremen - Hamburg - Hannover; 
144;Deutschlandtakt Bahnhof Bispingen;D-144;Bahnhof Bispingen;Kapazitätsausweitung aufgrund SGV-Prognose;Bispingen: Bau eines Güterüberholbahnhofs;Bahnhof Bispingen;17,9;;;;;;;;;;;;WAHR;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Hannover-Vinnhorst - Maschen Pbf;unmittelbar;neu;;;;;ja;Bremen - Hamburg - Hannover; 
145;Deutschlandtakt Bahnhof Sulzbach;D-145;Bahnhof Sulzbach;Maßnahmenliste Halbstundentakt DB Netz AG 2026: Steigerung Ka-pazität, Fahrplanoptimierung, Anschlusssicherung (Etappierungs-maßnahme);gleichzeitige Einfahrten Sulzbach;Bahnhof Sulzbach;12,9;;;;;;;;;;;;;;;;;;;;;;;WAHR;;FALSCH;FALSCH;WAHR;;;Stuttgart - Backnang - Nürnberg;mittelbar;4930;BW;;;;ja;Maßnahmen Raum Stuttgart (außer Korridor Mannheim - München); 
146;Deutschlandtakt Bahnhof Waiblingen;D-146;Bahnhof Waiblingen;Maßnahmenliste Halbstundentakt DB Netz AG 2026: Steigerung Ka-pazität, Fahrplanoptimierung, Anschlusssicherung (Etappierungs-maßnahme);Erhöhung der Einfahrgegschwindigkeit in Waiblingen aus Richtung Backnang auf 80 km/h;Bahnhof Waiblingen;2,9;;;;;;;;;;;;;;;;;;WAHR;80;;;;;;FALSCH;FALSCH;WAHR;;;Stuttgart - Backnang - Nürnberg;mittelbar;4930;BW;;;;ja;Maßnahmen Raum Stuttgart (außer Korridor Mannheim - München); 
147;Deutschlandtakt Bahnhof Stuttgart-Bad-Cannstatt;D-147;Bahnhof Stuttgart-Bad-Cannstatt;Maßnahmenliste Halbstundentakt DB Netz AG 2026: Steigerung Ka-pazität, Fahrplanoptimierung, Anschlusssicherung (Etappierungs-maßnahme);Stuttgart -Bad Cannstatt: Weichenverbindung für verbesserte Anbin-dung des Abstellbahnhofs;Bahnhof Stuttgart-Bad-Cannstatt;11;;;;;;;;;;;;;;;;;;;;;;;WAHR;;FALSCH;FALSCH;WAHR;;;Knoten Stuttgart;mittelbar;mehrere;BW;;;;ja;Maßnahmen Raum Stuttgart (außer Korridor Mannheim - München); 
148;Deutschlandtakt NBS Langes Feld – Stuttgart Hbf;D-148;NBS Langes Feld – Stuttgart Hbf;Fahrzeitkürzung Mannheim – Stuttgart um rund 5 Minuten ggü. Fahr-plan 2021, um in Stuttgart bessere Anschlüsse herstellen zu können (Zielfahrzeit Stuttgart – Mannheim: 31 Minuten), zudem Kapazitäts-erweiterung im Nordzulauf aufgrund Mehrverkehr SPFV;Neubaustrecke im Nordzulauf Langes Feld – Stuttgart Hbf;Langes Feld – Stuttgart Hbf;1134,4;WAHR;;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Stuttgart;unmittelbar;offen;BW;;;;ja;Mannheim - Stuttgart - Augsburg - München; 
149;Deutschlandtakt NBS Stuttgart Hbf – Stuttgart Feuerbach (P-Option);D-149;NBS Stuttgart Hbf – Stuttgart Feuerbach (P-Option);Kapazitätsausweitung für Mehrverkehr SPNV5;Stuttgart Hbf – Stuttgart-Feuerbach: Neubau/Reaktivierung Bestandsstrecke („P-Option“) mit Einbindung in den Zulauf Bad Cannstatt;Stuttgart Hbf – Stuttgart Feuerbach (P-Option);167,6;WAHR;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Knoten Stuttgart;mittelbar;4800;BW;;;;ja;Mannheim - Stuttgart - Augsburg - München; 
150;Deutschlandtakt Bahnhof Böblingen;D-150;Bahnhof Böblingen;Kapazitätsausweitung aufgrund SGV-Prognose;Böblingen: mittiges Wartegleis für GV Richtung Kornwestheim;Bahnhof Böblingen;28;;;;;;;;;WAHR;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Stuttgart - Singen;unmittelbar;4860;BW;;;;ja;Maßnahmen Raum Stuttgart (außer Korridor Mannheim - München); 
151;Deutschlandtakt ABS Veerßen – Uelzen;D-151;ABS Veerßen – Uelzen;Kapazitätsausweitung aufgrund SGV-Prognose;Zweigleisigkeit Veerßen – Uelzen In der Relation Uelzen – Stendal;Veerßen – Uelzen;44,8;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Stendal - Uelzen;unmittelbar;6899;;;;;ja;Bremen - Hamburg - Hannover; 
152;Deutschlandtakt Bahnhof Ludwigshafen-Mundenheim;D-152;Bahnhof Ludwigshafen-Mundenheim;Kapazitätsausweitung aufgrund SGV-Prognose;Ludwigshafen-Mundenheim: zweigleisige Einbindung des Gbf Lud-wigshafen in die Strecke Richtung Schifferstadt + zwei Weichenver-bindungen vom mittigen Puffergleis 503 ins Gleis 502 (Richtung Gbf und Richtung Lu-Rheingönheim);Bahnhof Ludwigshafen-Mundenheim;20;;;;;;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Knoten Ludwigshafen;unmittelbar;3280/3401;;;;;ja;Maßnahmen Hessen/RLP; 
153;Deutschlandtakt ABS Bahnhof Ludwigshafen Hbf (hoch);D-153;ABS Bahnhof Ludwigshafen Hbf (hoch);Kapazitätsausweitung aufgrund SGV-Prognose;"Beschreibung der Maßnahme:
zwei Weichenverbindungen in Ludwigshafen Hbf hoch (Süd):
1.) durchgehende Zweigleisigkeit der Strecke 3522
2.) Verbindung von südlichem Bahnsteiggleis Ludwigshafen
Hoch nach Gleis 12 ohne Bahnsteig in gleicher Richtung
(östlich der Bahnsteige)";Bahnhof Ludwigshafen Hbf (hoch);15,6;;WAHR;;;WAHR;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Knoten Ludwigshafen;unmittelbar;3401/3522;;;;;ja;Maßnahmen Hessen/RLP; 
154;Deutschlandtakt Veitshöchheim – Würzburg Rbf (Puffergleis);D-154;Veitshöchheim – Würzburg Rbf (Puffergleis);Kapazitätsausweitung aufgrund SGV-Prognose;Veitshöchheim – Würzburg Rbf: mittiges Puffergleis für SGV (Ein-fahrt Würzburg Rbf);Veitshöchheim – Würzburg Rbf (Puffergleis);63,3;;;;;;;;;WAHR;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Gemünden - Würzburg;unmittelbar;5200;;;;;ja;Frankfurt - Aschaffenburg - Würzburg - Nürnberg; 
155;Deutschlandtakt ABS Bahnhof Gemünden;D-155;ABS Bahnhof Gemünden;Kapazitätsausweitung aufgrund SGV-Prognose;Gemünden: mittiges Puffergleis für 740 m lange Güterzüge Würz-burg – Aschaffenburg;Bahnhof Gemünden;11,1;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Gemünden - Würzburg;unmittelbar;5200/3825/5230;;;;;ja;Frankfurt - Aschaffenburg - Würzburg - Nürnberg; 
156;Deutschlandtakt Bahnhof Kißlegg;D-156;Bahnhof Kißlegg;Kapazitätsausweitung aufgrund SGV-Prognose;Kißlegg: zusätzliches Überhol-/Begegnungsgleis für SGV;Bahnhof Kißlegg;8,1;;;;;;;;;;;;WAHR;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Memmingen - Lindau;unmittelbar;4550/4560;BY;;;;ja;Maßnahmen Bayern; 
157;Deutschlandtakt Bahnhof Nienburg;D-157;Bahnhof Nienburg;Kapazitätsausweitung aufgrund SGV-Prognose;Nienburg: Überwerfung für die Relation Minden -> Verden;Bahnhof Nienburg;62,7;;;;;;;;;;;;;;;;WAHR;;;;;;;;;WAHR;WAHR;WAHR;;;Nienburg - Minden;unmittelbar;1740/1741;;;;;ja;Bremen - Hamburg - Hannover;  
158;Deutschlandtakt Bremerhaven-Wulsdorf – Bremervörde;D-158;Bremerhaven-Wulsdorf – Bremervörde;Kapazitätsausweitung aufgrund SGV-Prognose, Engpassauflösung zur Schaffung einer leistungsfähigeren Umfahrungsmöglichkeit für den Knoten Bremen;Elektrifizierung Bremerhaven-Wulsdorf – Bremervörde;Bremerhaven-Wulsdorf – Bremervörde;115,2;;;WAHR;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Bremerhaven-Wulsdorf - Bremervörde - Verden (NE-Bahn EVB);unmittelbar;1300;;;;;ja;Bremen - Hamburg - Hannover; 
159;Deutschlandtakt Rotenburg – Bremervörde;D-159;Rotenburg – Bremervörde;;Elektrifizierung Rotenburg – Bremervörde inkl. der neu zu bauenden Kurve Waffensen – Unterstedt;Rotenburg – Bremervörde;114,2;;;WAHR;;;;;WAHR;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Bremerhaven-Wulsdorf - Bremervörde - Verden (NE-Bahn EVB);unmittelbar;1711;;;;;ja;Bremen - Hamburg - Hannover; 
160;Deutschlandtakt Bahnhof Nauendorf;D-160;Bahnhof Nauendorf;Kapazitätsausweitung aufgrund SGV-Prognose;Kreuzungsgleis Nauendorf zur Erfüllung des Mengengerüsts SGV;Bahnhof Nauendorf;5,3;;;;;;;;;;WAHR;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Sandersleben - Halle;unmittelbar;6344;;;;;ja;Basel - Mannheim - Frankfurt - Fulda - Erfurt - Berlin; 
161;Deutschlandtakt Bahnhof Wustermark;D-161;Bahnhof Wustermark;Kapazitätsausweitung aufgrund SGV-Prognose;Weichenverbindungen Wustermark zur Kapazitätssteigerung;Bahnhof Wustermark;7,7;;;;;;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Berlin - Lehrte;unmittelbar;6107/6185;;;;;ja;NRW - Hannover - Berlin; 
162;Deutschlandtakt Bahnhof Rathenow;D-162;Bahnhof Rathenow;Kapazitätsausweitung aufgrund SGV-Prognose;Überholgleis Rathenow;Bahnhof Rathenow;22,4;;;;;;;;;;;;;1;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Berlin - Lehrte;unmittelbar;6185;;;;;ja;NRW - Hannover - Berlin; 
163;Deutschlandtakt Bahnhof Leipzig-Plagwitz;D-163;Bahnhof Leipzig-Plagwitz;Kapazitätsausweitung aufgrund SGV-Prognose;mittiges Wartegleis Leipzig-Plagwitz für den Güterverkehr zum Abkreuzen der S-Bahn;Bahnhof Leipzig-Plagwitz;35;;;;;;;;;WAHR;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Leipzig;unmittelbar;6383;;;;;ja;Knoten Leipzig; 
164;Deutschlandtakt Bahnhof Neustadt (Aisch);D-164;Bahnhof Neustadt (Aisch);Kapazitätsausweitung aufgrund SGV-Prognose;mittiges Wendegleis Neustadt (Aisch) für den Personenverkehr mit-tels Gleisverschwenkung;Bahnhof Neustadt (Aisch);26,1;;;;;;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Würzburg - Nürnberg;unmittelbar;5910;;;;;ja;Frankfurt - Aschaffenburg - Würzburg - Nürnberg; 
165;Deutschlandtakt ABS Wurmlingen – Tuttlingen;D-165;ABS Wurmlingen – Tuttlingen;Kapazitätsausweitung aufgrund SGV-Prognose;mittiges Überholgleis Wurmlingen – Tuttlingen für den Güterverkehr;Wurmlingen – Tuttlingen;41,1;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Stuttgart - Horb - Singen;unmittelbar;4600;BW;;;;ja;Maßnahmen Raum Stuttgart (außer Korridor Mannheim - München); 
166;Deutschlandtakt Bahnhof Buxheim;D-166;Bahnhof Buxheim;Kapazitätsausweitung aufgrund SGV-Prognose;Neubau Kreuzungsgleis Buxheim für den Güterverkehr;Bahnhof Buxheim;27,8;;;;;;;;;;WAHR;1;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Memmingen - Lindau;unmittelbar;4570;BY;;;;ja;Maßnahmen Bayern; 
167;Deutschlandtakt ABS Lehrte West – Lehrte Nord;D-167;ABS Lehrte West – Lehrte Nord;Kapazitätsausweitung aufgrund SGV-Prognose, Entmischung des Güterverkehrs und der S-Bahn;Lehrte West - Lehrte Nord: Überwerfung;Lehrte West – Lehrte Nord;109,4;;WAHR;;;;;;;;;;;;;;WAHR;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Hannover;unmittelbar;1750;;;;;ja;Knoten Hannover; 
168;Deutschlandtakt Bahnhof Lehrte (Ostkopf);D-168;Bahnhof Lehrte (Ostkopf);Kapazitätsausweitung aufgrund SGV-Prognose, Entmischung der Güterverkehrsströme Celle – Hildesheim und Lehrte – Braunschweig;Ostkopf Lehrte: Zusätzliche Gleisachsen und Weichen;Bahnhof Lehrte (Ostkopf);27,4;;;;;;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Knoten Hannover;unmittelbar;mehrere;;;;;ja;Knoten Hannover; 
169;Deutschlandtakt Knoten Mannheim (Schnellfahrweichen);D-169;Knoten Mannheim (Schnellfahrweichen);Fahrzeitkürzung SPFV um 1 Minute ggü. Fahrplan 2021 zum Errei-chen der erforderlichen Zielfahrzeiten Richtung Basel SBB (95 Minu-ten) und Stuttgart (31 Minuten) zur Anschlusserreichung;Mannheim Hbf: Schnellfahrweichen im Südkopf Mannheim für schnellere Ein- und Ausfahrten;Knoten Mannheim (Schnellfahrweichen);180,7;;;;;;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Knoten Mannheim;unmittelbar;4080;BW;;;;ja;Knoten Mannheim;  