;budget_year;lfd_nr;fin_ve;bedarfsplan_number;name;starting_year;cost_estimate_original;cost_estimate_last_year;cost_estimate_actual;cost_estimate_actual_third_parties;cost_estimate_actual_equity;cost_estimate_actual_891_01;cost_estimate_actual_891_02;cost_estimate_actual_891_03;cost_estimate_actual_891_04;cost_estimate_actual_891_91;delta_previous_year;delta_previous_year_relativ;delta_previous_year_reasons;spent_two_years_previous;spent_two_years_previous_third_parties;spent_two_years_previous_equity;spent_two_years_previous_891_01;spent_two_years_previous_891_02;spent_two_years_previous_891_03;spent_two_years_previous_891_04;spent_two_years_previous_891_91;allowed_previous_year;allowed_previous_year_third_parties;allowed_previous_year_equity;allowed_previous_year_891_01;allowed_previous_year_891_02;allowed_previous_year_891_03;allowed_previous_year_891_04;allowed_previous_year_891_91;spending_residues;spending_residues_891_01;spending_residues_891_02;spending_residues_891_03;spending_residues_891_04;spending_residues_891_91;year_planned;year_planned_third_parties;year_planned_equity;year_planned_891_01;year_planned_891_02;year_planned_891_03;year_planned_891_04;year_planned_891_91;next_years;next_years_third_parties;next_years_equity;next_years_891_01;next_years_891_02;next_years_891_03;next_years_891_04;next_years_891_91
0;2023;B0080;275;N20;"ABS Angermünde‐ Grenze D/PL (‐Stettin)
";2021;379844;379828;444440;100.000;20.498;444.440;-;-;-;-;64612;0.1701085754604716;;14840;‐;781;14.840;-;-;-;-;165749;‐;8.724;165.749;-;-;-;-;‐;‐;-;-;-;-;28544;25.000;1.189;28.544;-;-;-;-;235307;75.000;9.804;235.307;-;-;-;-
1;2023;B0001;30;L 21;ABS Augsburg ‐ München, Augsburg ‐ Mering ‐ Olching ;1997;469877;621983;621404;-;ERGÄNZEN;619.443;-;1.961;-;-;-579;-0.0009308936096324176;;614806;-;-;612.845;-;1.961;-;-;2252;-;-;2.252;-;‐;-;-;3062;3.062;-;‐;-;-;1177;-;-;1.177;-;‐;-;-;107;-;-;107;-;‐;-;-
2;2023;B0002;730;L 05;"ABS Berlin ‐ Dresden, 1. Baustufe,
2. Realisierungsstufe
";2008;189361;419875;421554;-;5.860;384.775;-;-;22.009;14.770;1679;0.003998809169395654;;370591;-;3.375;333.812;-;-;22.009;14.770;33028;-;1.738;33.028;-;-;‐;‐;‐;‐;-;-;‐;‐;16835;-;701;16.835;-;-;‐;‐;1100;-;46;1.100;-;-;‐;‐
3;2023;B0081;732;L 05;"ABS Berlin ‐ Dresden, 1. Baustufe,
2. Realisierungsstufe (Bf Zossen)
";2021;43941;46397;49654;-;2.178;49.654;-;-;-;-;3257;0.07019850421363451;;661;-;35;661;-;-;-;-;7820;-;486;7.820;-;-;-;-;1404;1.404;-;-;-;-;11506;-;479;11.506;-;-;-;-;28263;-;1.178;28.263;-;-;-;-
4;2023;B0003;72;L 14;ABS Berlin ‐ Frankfurt(Oder) ‐ Grenze D/PL;2005;431247;595750;610954;-;ERGÄNZEN;537.751;-;1.517;71.686;-;15204;0.02552077213596307;;472545;-;-;399.342;-;1.517;71.686;-;10323;-;-;10.323;-;‐;‐;-;1308;1.308;-;‐;‐;-;11741;-;-;11.741;-;‐;‐;-;115037;-;-;115.037;-;‐;‐;-
5;2023;B0006;5010;L 19;"ABS Fulda ‐ Frankfurt a.M., 3. Baustufe (Linienverbesserung Neuhof)
";2005;45870;49040;50828;-;ERGÄNZEN;50.828;-;-;-;-;1788;0.036460032626427406;;49687;-;-;49.687;-;-;-;-;815;-;-;815;-;-;-;-;219;219;-;-;-;-;107;-;-;107;-;-;-;-;‐;-;-;‐;-;-;-;-
6;2023;B0004;271;L 30;"ABS Grenze D/NL ‐ Emmerich ‐ Oberhausen, dreigleisiger Ausbau + Knoten Oberhausen (Abschnitt 5)
";2013;746250;1124149;1398310;450.090;80.216;1.385.694;-;12.616;-;-;274161;0.24388315072112327;;70923;116.092;7.535;58.307;-;12.616;-;-;724;256.264;16.594;724;-;‐;-;-;19662;19.662;-;‐;-;-;142633;73.850;9.020;142.633;-;‐;-;-;1164368;3.884;47.067;1.164.368;-;‐;-;-
7;2023;B0104;271;N 21;"ABS Hannover – Berlin (Lehrter Stammbahn),
1. Bauabschnitt
Unterlagen entsprechend § 24 Abs. 4 BHO liegen noch nicht (vollständig) vor.
";vsl.2022;746250;1124149;153428;-;ERGÄNZEN;153.428;-;-;-;-;-970721;-0.8635163132289403;;‐;-;-;‐;-;-;-;-;‐;-;-;‐;-;-;-;-;‐;‐;-;-;-;-;2005;-;-;2.005;-;-;-;-;151423;-;-;151.423;-;-;-;-
8;2023;B0011;269;L 31;"ABS Hoyerswerda ‐ Horka ‐ Grenze D/PL
";2012;368726;416227;447309;-;8.906;372.793;-;52.821;21.695;-;31082;0.07467559769068322;;384043;-;5.626;309.527;-;52.821;21.695;-;12615;-;3.088;12.615;-;‐;‐;-;17974;17.974;-;‐;ERGÄNZEN;-;4000;-;167;4.000;-;‐;‐;-;28677;-;25;28.677;-;‐;‐;-
9;2023;B0010;31;L 13;"ABS Karlsruhe ‐ Stuttgart ‐ Nürnberg ‐ Leipzig/Dresden (Franken‐Sachsen‐Magistrale)
";1997;1183181;1271669;1299425;-;16.878;1.276.514;-;-;10.987;11.924;27756;0.02182643439448473;;1117230;-;8.662;1.094.319;-;-;10.987;11.924;54767;-;2.990;54.767;-;-;‐;‐;2048;2.048;-;-;‐;ERGÄNZEN;15300;-;638;15.300;-;-;‐;‐;110080;-;4.588;110.080;-;-;‐;‐
10;2023;B0031;242;L 13;ABS Karlsruhe ‐ Stuttgart ‐ Nürnberg ‐ Leipzig/Dresden,;2008;86929;93220;93171;-;202;93.171;-;-;-;-;-49;-0.0005256382750482729;;89897;-;33;89.897;-;-;-;-;1466;-;157;1.466;-;-;-;-;1508;1.508;-;-;-;-;200;-;8;200;-;-;-;-;100;-;4;100;-;-;-;-
11;2023;B0076;387;L 13;"ABS Karlsruhe – Stuttgart – Nürnberg – Leipzig/Dresden,
2.Baustufe Gaschwitz – Werdau
";2019;204695;562244;669136;-;30.188;669.136;-;-;-;-;106892;0.19011674646594717;;82839;-;4.360;82.839;-;-;-;-;118183;-;6.710;118.183;-;-;-;-;9313;9.313;-;-;-;-;55000;-;2.292;55.000;-;-;-;-;403801;-;16.826;403.801;-;-;-;-
12;2023;B0067;248;L 15;"ABS Köln‐Aachen‐Grenze D/B, Eschweiler / Rothe Erde
";2016;39554;58525;72441;-;3.679;72.441;-;-;-;-;13916;0.2377787270397266;;45429;-;2.385;45.429;-;-;-;-;12458;-;811;12.458;-;-;-;-;2954;2.954;-;-;-;-;6600;-;275;6.600;-;-;-;-;5000;-;208;5.000;-;-;-;-
13;2023;B0012;44;L 17;ABS Ludwigshafen ‐ Saarbrücken (POS Nord), 1. Baustufe;1998;179668;292498;288811;-;ERGÄNZEN;278.627;-;10.184;-;-;-3687;-0.012605214394628339;;285385;-;-;275.201;-;10.184;-;-;1149;-;-;1.149;-;‐;-;-;1742;1.742;-;ERGÄNZEN;-;-;428;-;-;428;-;‐;-;-;107;-;-;107;-;‐;-;-
14;2023;B0013;42;L 17;"ABS Ludwigshafen ‐ Saarbrücken (POS Nord), 2. Baustufe
";2005;152890;411439;412634;-;ERGÄNZEN;394.865;-;17.769;-;-;1195;0.0029044402693959494;;284514;-;-;266.745;-;17.769;-;-;7326;-;-;7.326;-;‐;-;-;3682;3.682;-;ERGÄNZEN;-;-;19902;-;-;19.902;-;ERGÄNZEN;-;-;97210;-;-;97.210;-;‐;-;-
15;2023;B0009;108;L 07;"ABS Löhne ‐ Braunschweig ‐ Wolfsburg, Hildesheim ‐ Großgleidingen
";2009;77934;133082;133007;-;ERGÄNZEN;133.007;-;-;-;-;-75;-0.0005635623149637066;;131759;-;-;131.759;-;-;-;-;545;-;-;545;-;-;-;-;596;596;-;-;-;-;107;-;-;107;-;-;-;-;‐;-;-;‐;-;-;-;-
16;2023;B0014;5027;L 18;"ABS Mainz ‐ Mannheim, Nordkopf Mainz
";2010;38056;51160;50791;-;ERGÄNZEN;35.461;-;-;-;15.330;-369;-0.007212666145426114;;45955;-;-;30.625;-;-;-;15.330;2447;-;-;2.447;-;-;-;‐;1961;1.961;-;-;-;ERGÄNZEN;321;-;-;321;-;-;-;‐;107;-;-;107;-;-;-;‐
17;2023;B0016;5043;L 22;ABS München ‐ Mühldorf ‐ Freilassing, dreigleisiger Ausbau Freilassing ‐ Grenze D/A ;2013;38189;37240;36928;-;ERGÄNZEN;24.521;-;12.407;-;-;-312;-0.008378088077336197;;35248;-;-;22.841;-;12.407;-;-;658;-;-;658;-;‐;-;-;915;915;-;ERGÄNZEN;-;-;107;-;-;107;-;‐;-;-;‐;-;-;‐;-;‐;-;-
18;2023;B0017;5042;L 22;"ABS München ‐ Mühldorf ‐ Freilassing,
Altmühldorf ‐ Tüßling
";2013;106401;114063;113094;-;ERGÄNZEN;113.094;-;-;-;-;-969;-0.008495305226059282;;110620;-;-;110.620;-;-;-;-;1022;-;-;1.022;-;-;-;-;1345;1.345;-;-;-;-;107;-;-;107;-;-;-;-;‐;-;-;‐;-;-;-;-
19;2023;B0020;2256;L 28;ABS Oldenburg ‐ Wilhelmshaven, Baustufe III.a (zweigleisiger Ausbau) ;2011;181465;235177;237493;-;442;237.493;-;-;-;-;2316;0.009847901793117524;;231603;-;136;231.603;-;-;-;-;3958;-;289;3.958;-;-;-;-;1529;1.529;-;-;-;-;303;-;13;303;-;-;-;-;100;-;4;100;-;-;-;-
20;2023;B0057;3256;L 28;"ABS Oldenburg ‐ Wilhelmshaven,
Baustufe III.b (Elektrifizierung und Ertüchtigung)
";2015;348677;674148;733219;-;34.270;733.219;-;-;-;-;59071;0.08762319253339029;;482607;-;22.720;482.607;-;-;-;-;101050;-;5.318;101.050;-;-;-;-;‐;‐;-;-;-;-;55462;-;2.311;55.462;-;-;-;-;94100;-;3.921;94.100;-;-;-;-
21;2023;B0021;5094;L 12;"ABS Paderborn ‐ Chemnitz,
4.Teil Weimar ‐ Stadtroda
";2012;62435;74261;76172;-;ERGÄNZEN;76.172;-;-;-;-;1911;0.025733561357913305;;71121;-;-;71.121;-;-;-;-;3608;-;-;3.608;-;-;-;-;1336;1.336;-;-;-;-;107;-;-;107;-;-;-;-;‐;-;-;‐;-;-;-;-
22;2023;B0022;244;L 04;ABS Stelle ‐ Lüneburg, dreigleisiger Ausbau;2009;260390;298980;283272;-;ERGÄNZEN;206.410;-;-;76.862;-;-15708;-0.052538631346578366;;259968;-;-;183.106;-;-;76.862;-;9087;-;-;9.087;-;-;ERGÄNZEN;-;12612;12.612;-;-;ERGÄNZEN;-;1070;-;-;1.070;-;-;‐;-;535;-;-;535;-;-;‐;-
23;2023;B0075;286;N 23;"ABS Stuttgart – Singen – Grenze D/CH,
Horb – Neckarhausen
";2019;33366;33366;32671;-;1.480;32.671;-;-;-;-;-695;-0.020829587004735358;;3502;-;184;3.502;-;-;-;-;7188;-;384;7.188;-;-;-;-;99;99;-;-;-;-;17210;-;717;17.210;-;-;-;-;4672;-;195;4.672;-;-;-;-
24;2023;B0105;286;N 15/ P44;"ABS Uelzen – Stendal – Magdeburg – Halle, Stendal – Uelzen (2. Baustufe)
Unterlagen entsprechend § 24 Abs. 4 BHO liegen noch nicht (vollständig) vor.";vsl.2023;33366;33366;777808;-;ERGÄNZEN;777.808;-;-;-;-;744442;22.3113948330636;;‐;-;-;‐;-;-;-;-;‐;-;-;‐;-;-;-;-;‐;‐;-;-;-;-;3123;-;-;3.123;-;-;-;-;774685;-;-;774.685;-;-;-;-
25;2023;B0082;1163;N 15;"ABS Uelzen ‐ Stendal‐ Magdeburg‐ Halle, Überholgleise Schnega und Salzwedel
";2020;20628;20629;20790;-;992;20.790;-;-;-;-;161;0.007804546996946046;;1883;-;99;1.883;-;-;-;-;9549;-;503;9.549;-;-;-;-;‐;‐;-;-;-;-;9165;-;382;9.165;-;-;-;-;193;-;8;193;-;-;-;-
26;2023;B0023;162;L 29;"ABS Uelzen ‐ Stendal, 1. Baustufe
";2011;54880;57160;56964;-;ERGÄNZEN;56.964;-;-;-;-;-196;-0.0034289713086074177;;55274;-;-;55.274;-;-;-;-;723;-;-;723;-;-;-;-;860;860;-;-;-;-;107;-;-;107;-;-;-;-;‐;-;-;‐;-;-;-;-
27;2023;B0062;270;N 01;"ABS Ulm ‐ Friedrichshafen ‐ Lindau, Elektrifizierung
";2015;97447;228742;232428;112.500;17.072;232.428;-;-;-;-;3686;0.01611422475977302;;194657;112.168;15.377;194.657;-;-;-;-;15052;332;749;15.052;-;-;-;-;‐;‐;-;-;-;-;7447;‐;310;7.447;-;-;-;-;15272;‐;636;15.272;-;-;-;-
28;2023;B0083;1251;N 09;"ABS/ NBS Hamburg‐Lübeck‐Puttgarten (Hinterlandanbindung FBQ),
ohne Fehmarnsundquerung
";2020;1991024;2003555;2005259;-;84.307;2.005.259;-;-;-;-;1704;0.0008504882571229639;;29675;-;1.547;29.675;-;-;-;-;40559;-;2.135;40.559;-;-;-;-;‐;‐;-;-;-;-;190001;-;12.083;190.001;-;-;-;-;1745024;-;68.542;1.745.024;-;-;-;-
29;2023;B0008;207;L 16;ABS Hanau ‐ Nantenbach, Schwarzkopftunnel  ;2011;214572;254808;254291;-;ERGÄNZEN;254.291;-;-;-;-;-517;-0.0020289786819880067;;252905;-;-;252.905;-;-;-;-;142;-;-;142;-;-;-;-;1094;1.094;-;-;-;-;150;-;-;150;-;-;-;-;‐;-;-;‐;-;-;-;-
30;2023;B0071;294;N 02;"ABS/NBS Hanau – Würzburg / Fulda – Erfurt,
ESTW Gelnhausen
";2018;49311;97725;101647;-;4.960;101.647;-;-;-;-;3922;0.040133026349449985;;34330;-;1.807;34.330;-;-;-;-;26410;-;1.673;26.410;-;-;-;-;5384;5.384;-;-;-;-;13692;-;571;13.692;-;-;-;-;21831;-;909;21.831;-;-;-;-
31;2023;B0058;5054;N 02;"ABS/NBS Hanau‐ Würzburg/Fulda‐ Erfurt; Erfurt‐ Eisenach
";2015;71510;95776;86802;-;ERGÄNZEN;86.802;-;-;-;-;-8974;-0.09369779485466087;;84348;-;-;84.348;-;-;-;-;‐;-;-;2.975;-;-;-;-;4787;4.787;-;-;-;-;535;-;-;535;-;-;-;-;107;-;-;107;-;-;-;-
32;2023;B0106;5054;N 02;"ABS/NBS Hanau – Würzburg / Fulda – Erfurt, Langenselbold – Gelnhausen
Unterlagen entsprechend § 24 Abs. 4 BHO liegen noch nicht (vollständig) vor.
";vsl.2022;71510;95776;635438;-;ERGÄNZEN;635.438;-;-;-;-;539662;5.634626628800534;;‐;-;-;‐;-;-;-;-;‐;-;-;‐;-;-;-;-;‐;‐;-;-;-;-;5000;-;-;5.000;-;-;-;-;630438;-;-;630.438;-;-;-;-
33;2023;B0024;5009;L 24;ABS/NBS Karlsruhe ‐ Basel, StA 1 (mit Tunnel Rastatt) ;2012;690084;950519;1011216;-;26.156;834.893;-;150.167;-;-;60697;0.06385669302770382;;587714;-;26.156;404.743;-;156.815;-;-;121390;-;6.648;128.038;-;‐;-;-;12032;12.032;-;‐;-;-;60000;-;‐;60.000;-;‐;-;-;230080;-;‐;230.080;-;‐;-;-
34;2023;B0025;5028;L 24;"ABS/NBS Karlsruhe ‐ Basel,
StA 9.0
";2012;198345;407342;479822;1.050;22.383;469.260;-;10.562;-;-;72480;0.17793402104374212;;128180;‐;2.793;117.618;-;10.562;-;-;121773;1.050;3.617;121.773;-;‐;-;-;‐;‐;-;‐;-;-;65631;‐;2.735;65.631;-;‐;-;-;164238;‐;13.238;164.238;-;‐;-;-
35;2023;B0026;5005;L 24;"ABS/NBS Karlsruhe ‐ Basel,
StA 9.1 (mit Katzenbergtunnel)
";2003;864834;674015;674052;-;1.520;618.607;-;55.445;-;-;37;5.4894920736185394e-05;;648158;-;202;592.713;-;55.445;-;-;13530;-;1.152;13.530;-;‐;-;-;8363;8.363;-;‐;-;-;2962;-;123;2.962;-;‐;-;-;1039;-;43;1.039;-;‐;-;-
